# UNIQUE PLAYERS: 208
1112: 199
95: 162,161,160
94: 124
94: 159,166
93: 69,74
93: 90
93: 136
93: 199,200
92: 133,131,132
92: 151,152,155
92: 166
90: 134,137
89: 77,83
89: 102
87: 30,36
87: 62,65
87: 95,100
87: 191,192
86: 122,124,125
86: 144,140
86: 146
86: 199,203
86: 199,204
85: 12,10
85: 83
85: 150,154,155
85: 150,155,154
85: 205
84: 200,203
83: 10,11
83: 129,130,138
82: 0,4
82: 203,204
81: 78,79,82
81: 85,86
81: 96,98,97
81: 106,108,107
81: 132,131
80: 66
79: 14
79: 47
79: 56
79: 112
79: 173
79: 190,196
79: 193,190
78: 140,147
77: 113
77: 198
76: 19,24
76: 31,33
76: 41,43
76: 70,71,73
76: 69,73
76: 95,99
76: 129,130,135
76: 150,157
75: 20,21
75: 23,26
75: 27
75: 33,31
75: 51,52
75: 99,102
75: 114
75: 122,125,124
75: 131,133
73: 4,5
73: 69,75
73: 152,151,154
73: 154,150
73: 200,199
73: 206
72: 49,54
72: 77,82,81
72: 98,96,97
72: 109,113
72: 157
72: 204,203
72: 202,200
71: 23,24
71: 19,28
71: 28
71: 30,37
71: 77,81,82
71: 147
71: 155,150
71: 183
71: 194
70: 32,31
70: 78,79,77
70: 122,119
70: 196,197
69: 75
69: 85,87
68: 41,42
68: 98,97,96
68: 190,198
67: 5,4
67: 20,22
67: 102,99
67: 115
67: 116
67: 148
66: 60,61,64
66: 77,81
66: 165
66: 184
66: 190,193
65: 30,35
64: 9,15
64: 19,25
64: 52,50
64: 129,130,136
64: 142,141
64: 161,162
63: 88,90
62: 24,23
62: 43,41
62: 151,152,154,155
61: 36
61: 137
61: 151,152,150
61: 180,181,182
60: 9,16
60: 30,31
60: 62,64
60: 95,96
60: 129,131
60: 152,151,155
60: 159,162
60: 167
59: 37
59: 139
59: 140,146
59: 143,144
59: 201,205,204
58: 40,48
58: 67
58: 121,124
58: 129,130,139
58: 154,155,150
58: 185
57: 62,66
57: 154,150,155
57: 154,152,151
56: 34,38
56: 69,76
56: 109,111
56: 156
55: 33,32
55: 63,64,65
55: 81,80
55: 126
55: 140,144,147
55: 172,170,171
54: 70,71,69
54: 69,70
54: 91
54: 97,96
54: 106,107
54: 143,141
54: 150,153
54: 170,171,172
53: 6
53: 9,14
53: 21,22
53: 73,69,74
53: 73,69
53: 76
53: 77,78
53: 145,149
52: 24,19
52: 73,72,74
52: 86,85
52: 106,108
52: 201,203
51: 24,28
51: 40,46
51: 129,130,134
51: 154,153,155
51: 154,152
50: 11,12
50: 38,34
50: 42,41
50: 57
50: 61,60,64
50: 107,108
50: 143,142
50: 149,145
50: 150,151,152
50: 155,154,150
50: 200,204
49: 7
49: 21,20
49: 50,51
49: 77,80
49: 85,86,87,88
49: 88,92
49: 120,123,122
49: 121,122
49: 137,134
49: 132,133
49: 130,129
49: 159,160
49: 172,173
49: 190,197
49: 199,204,203
48: 31,30
48: 48
48: 49,57
48: 60,61,62
48: 62,63
48: 73,70
48: 80,81,82
48: 123,120,122
48: 180,181,183
47: 16
47: 53,58
47: 58
47: 62,65,64
47: 64,65
47: 131,129
47: 130
47: 140,141
47: 199,202
46: 15
46: 49,55
46: 62,61
46: 77,78,79
46: 121,124,125
46: 152,151,150
46: 197,196
46: 200,206
45: 9,12
45: 52,51
45: 63,65
45: 69,74,73
45: 96,97,98,95
45: 103
45: 122,124
45: 142,143
45: 153,154,155
45: 161,160,162
45: 174
44: 71,70,73
44: 144,140,148
44: 196,190
44: 203,200
43: 19,24,28
43: 62,64,65
43: 74,73
43: 79,78,81
43: 86,87
43: 95,100,104
43: 150,157,155
42: 0,5
42: 51,50
42: 50,52
42: 63,65,64
42: 77,83,82
42: 81,77
42: 95,99,102
42: 95,102
42: 125,124,122
42: 140,145
42: 149
42: 199,202,200
42: 204,199
41: 40,47
41: 73,74,69
41: 69,73,74
41: 69,71
41: 82,77
41: 109,107
41: 140,141,142,143
41: 155,158
41: 163,168
41: 170,171,173
41: 190,191
41: 201,204,203
40: 9,10
40: 10,9
40: 13,17
40: 31,30,32,33
40: 60,61,65
40: 69,76,75
40: 81,77,82
40: 92
40: 109,112
40: 155,151,152
40: 190,197,196
39: 0,4,5
39: 0,6
39: 19,23
39: 30,35,36
39: 61,60,65
39: 68
39: 69,74,75
39: 72,74
39: 96,98
39: 96,95
39: 113,116
39: 119,126
39: 119,121
39: 140,147,146
39: 154,155,151,152
39: 154,151,152
39: 159,162,160
39: 175
38: 30,33
38: 38
38: 69,75,76
38: 103,101
38: 122,125
38: 125
38: 138
38: 140,144,148
38: 155,150,154
38: 154,151
38: 170,172
38: 205,201
38: 207
37: 65,64
37: 71,70,69
37: 78,79,80
37: 119,124
37: 140,143
37: 154,155,153
37: 150,155,157
37: 159,166,169
37: 172,170
37: 203,199
36: 11,10
36: 24,20
36: 40,41
36: 42,43
36: 62,60
36: 63,61
36: 69,72
36: 79,78,82
36: 117
36: 153,156,154
36: 158
36: 166,159
36: 162,161
36: 171,170,172
36: 172,173,176
36: 203,204,199
36: 199,203,204
36: 200,204,203
36: 200,202
36: 199,201
35: 22,20
35: 26
35: 31,32,33,30
35: 40,41,42,43
35: 40,45,46
35: 44,47
35: 70,73
35: 118
35: 124,122
35: 131,132,133,136
35: 143,140
35: 153,150
35: 159,161
35: 159,163
35: 172,171
35: 185,184
35: 186
35: 204,203,199
34: 17
34: 35,36
34: 30,39
34: 40,44
34: 49,54,59
34: 49,51
34: 61,60,62
34: 73,74,70
34: 70,71,74
34: 69,71,70
34: 70,69
34: 80,82
34: 88,90,93
34: 122,127
34: 131,132,133,129
34: 133,131
34: 141,143
34: 180,181,187
34: 182,188
34: 188
34: 190,194,196
33: 2,1,4
33: 12,9
33: 32,33
33: 41,42,43,47
33: 72,69
33: 84
33: 88,91
33: 87,85
33: 116,113
33: 119,122,126
33: 131,132,133,139
33: 141,142,143,144
33: 140,148
33: 153,155
33: 159,166,165
33: 159,167
33: 172,177
33: 182,183
33: 187
33: 189
33: 200,203,204
33: 199,200,202
32: 9,18
32: 19,29
32: 31,30,32
32: 30,32
32: 36,35
32: 60,61,66
32: 60,62
32: 63,67
32: 95,100,99
32: 109,116,113
32: 108,107
32: 109,116
32: 129,130,138,136
32: 133,132
32: 141,142,143,140
32: 151,154
32: 150,152
32: 162,159
32: 190,198,196
32: 190,194,198
32: 190,196,197
31: 0,6,4
31: 1,0
31: 22,21
31: 43,42
31: 49,59
31: 49,50
31: 81,82,77
31: 109,113,116
31: 123,120,124,125
31: 119,122,124
31: 121,119
31: 131,132,133,135
31: 129,130,132
31: 129,132
31: 152,151,154,155
31: 152,151,155,154
31: 159,165,167
31: 167,165
31: 160,161
31: 171,170,173
31: 195,197
31: 201,204,205
30: 12,11
30: 28,24
30: 30,36,35
30: 30,37,39
30: 30,34
30: 49,57,55
30: 49,52
30: 72,73,74
30: 78,79,81,82
30: 80,81,77
30: 77,80,81
30: 77,81,80
30: 78,77
30: 85,86,87,90
30: 104
30: 124,122,125
30: 129,134
30: 140,144,146
30: 140,141,142
30: 169
30: 180,182
30: 196,194
29: 24,21
29: 41,42,43,45
29: 40,46,45
29: 49,51,52
29: 59
29: 60,62,61
29: 62,60,61
29: 78,81
29: 81,78
29: 93
29: 95,97
29: 97,98
29: 108,106
29: 119,124,122
29: 124,125,121
29: 129,130,131
29: 144,141,142,143
29: 140,146,147
29: 146,147
29: 144,148
29: 151,152,155,154
29: 155,154,151,152
29: 159,167,165
29: 160,159
29: 161,160
29: 168
29: 170,171,178
29: 201,199
28: 4,5,0
28: 9,15,14
28: 17,13
28: 26,23
28: 23,19
28: 19,21
28: 31,32,33,35
28: 40,45,48
28: 46,40
28: 46,45
28: 49,55,57
28: 62,61,60
28: 72,70
28: 71,69
28: 81,78,79
28: 88,93,90
28: 96,97,98,99
28: 109,111,112
28: 119,126,122
28: 119,122,125
28: 131,132,133,138
28: 129,130,132,131
28: 129,130,139,135
28: 143,142,141,144
28: 140,142
28: 154,151,152,155
28: 153,154,156
28: 151,155
28: 156,153
28: 182,180
28: 180,183
28: 191,193,192,197
28: 199,201,204
28: 199,206
27: 1,2,5
27: 10,11,12,9
27: 40,48,47
27: 65,62
27: 71,69,70
27: 74,73,69
27: 80,82,81
27: 78,79,83
27: 88,86
27: 95,102,99
27: 107,106
27: 122,119,124
27: 132,129
27: 129,135
27: 143,141,142,144
27: 144,140,147
27: 145,146
27: 150,152,151
27: 150,157,158
27: 154,153,150
27: 162,160,161,159
27: 161,159
27: 165,167
27: 170,171,177
27: 178
27: 200,203,206
27: 202,200,199
27: 200,201
26: 0,6,7
26: 1,2,4
26: 19,20
26: 29
26: 30,39,37
26: 39
26: 50,51,52,54
26: 63,62,64
26: 67,63
26: 71,70,74
26: 69,73,70
26: 81,78,79,82
26: 80,77
26: 88,87
26: 101,103
26: 109,106
26: 124,125,120,123
26: 141,140
26: 151,152,157
26: 150,155,158
26: 155,151
26: 184,185
26: 202,199,200
26: 199,204,200
25: 4,0
25: 5,0
25: 9,16,18
25: 13,14
25: 18
25: 19,28,24
25: 31,32,30
25: 33,30
25: 40,47,48
25: 40,43
25: 54,49
25: 62,68
25: 63,62
25: 73,72,70
25: 70,71,75
25: 78,79,77,81
25: 88,85
25: 88,94
25: 95,104
25: 106,107,108,109
25: 109,111,113
25: 111,109
25: 134,129
25: 150,158,155
25: 152,151,153
25: 161,162,160,159
25: 162,160,159
25: 165,159
25: 172,171,170
25: 177
25: 191,190
25: 204,199,203
25: 201,200
25: 204,201
24: 2,0
24: 10,12,11,9
24: 9,13
24: 11,9
24: 19,25,29
24: 19,27
24: 40,41,42
24: 50,51,52,49
24: 50,51,52,55
24: 69,70,71
24: 74,73,70
24: 77,82,83
24: 82,81,77
24: 79,78,77
24: 77,81,78
24: 88,90,92
24: 87,86
24: 96,97,95
24: 111,109,112
24: 110,118
24: 122,119,125,124
24: 124,119
24: 140,147,144
24: 154,150,153
24: 154,155,151
24: 152,155
24: 180,181,189
24: 180,181,185
24: 199,204,201
23: 2,1,5
23: 3,4
23: 19,29,25
23: 24,19,28
23: 24,27
23: 24,22
23: 30,37,36
23: 42,41,43,47
23: 47,44
23: 44,40
23: 49,54,57
23: 53,55
23: 49,53
23: 62,66,68
23: 64,63
23: 69,73,72
23: 70,69,71
23: 74,69
23: 78,79,81,77
23: 78,79,80,81
23: 77,81,78,79
23: 88,93
23: 89,91
23: 95,97,96
23: 123,120,119
23: 127
23: 135,139
23: 129,133
23: 141,142,144
23: 145,140
23: 147,146
23: 155,154,153
23: 158,155
23: 159,160,162
23: 171,170,177
23: 172,176
23: 180,181,188
23: 180,185
23: 190,198,194
23: 196,190,197
23: 196,197,190
23: 195,196
23: 204,203,205
22: 0,2
22: 19,22
22: 30,32,33
22: 31,35
22: 43,42,41,45
22: 45,40,46
22: 47,48
22: 51,49
22: 61,60,64,65
22: 63,61,64
22: 62,68,66
22: 69,72,73
22: 71,73
22: 78,81,79
22: 113,109
22: 122,123,120
22: 125,124
22: 119,123
22: 129,130,135,139
22: 140,145,146
22: 141,142,140
22: 144,143
22: 150,153,154
22: 153,155,154
22: 152,150
22: 159,165,166
22: 171,170,178
22: 191,193,192,196
22: 193,192,191
22: 190,196,194
22: 200,199,203
22: 200,199,204
22: 206,200
21: 5,0,4
21: 5,2,1
21: 3,8
21: 8
21: 9,14,15
21: 10,11,9
21: 20,21,22,24
21: 20,21,22,25
21: 19,28,25
21: 31,32,33,36
21: 30,36,37
21: 31,34
21: 42,41,43,45
21: 45,40
21: 56,58,53
21: 58,53
21: 55,53
21: 50,49
21: 61,60,63
21: 62,66,65
21: 61,62
21: 70,71,72
21: 70,73,71
21: 78,79,82,81
21: 96,97,98,100
21: 99,95
21: 95,105
21: 109,112,111
21: 109,108
21: 119,124,125
21: 129,130,131,132
21: 129,130,136,138
21: 131,135
21: 143,142,141,140
21: 144,140,141
21: 146,140
21: 155,151,152,154
21: 154,152,155
21: 150,151
21: 152,154
21: 161,162,160,167
21: 159,164
21: 176
21: 192,193
21: 205,201,204
21: 204,201,203
20: 2,5,1
20: 2,1,6
20: 0,2,1
20: 2,5
20: 0,1
20: 9,15,16
20: 20,21,22,19
20: 22,24
20: 31,32,33,37
20: 30,31,32
20: 36,30
20: 40,42
20: 45,46
20: 49,59,54
20: 60,61,64,65
20: 73,74,72
20: 72,73,69
20: 73,70,74
20: 73,71,70
20: 73,71
20: 77,83,84
20: 80,78,79
20: 81,82,80
20: 82,77,81
20: 80,78
20: 88,92,93
20: 95,100,104,99
20: 96,97,98,102
20: 96,100
20: 118,110
20: 106,109
20: 122,124,119
20: 122,126
20: 129,131,132
20: 154,152,151,155
20: 153,156,155
20: 157,150
20: 160,162,159
20: 168,163
20: 160,166
20: 173,172
20: 170,173
20: 183,182
20: 197,196,190
19: 2,1,5,4
19: 0,5,4
19: 3,5
19: 2,4
19: 10,9,12
19: 9,10,12
19: 15,14
19: 14,15
19: 21,22,20,24
19: 23,27
19: 33,31,32,30
19: 31,36
19: 35,30
19: 41,42,43,40
19: 41,42,43,48
19: 49,57,54
19: 55,57
19: 64,61,60
19: 61,63
19: 69,73,75
19: 71,70,75
19: 70,69,73
19: 76,69
19: 77,78,79,81
19: 77,84,82
19: 81,80,82
19: 83,77
19: 78,82
19: 105
19: 106,107,108,111
19: 106,107,108,116
19: 124,125,122,119
19: 121,128
19: 129,136
19: 140,144,143
19: 140,143,142
19: 142,140
19: 145,143
19: 150,157,158,155
19: 152,154,155
19: 151,155,152
19: 155,157
19: 155,153
19: 160,162,161,165
19: 159,166,167
19: 164,168
19: 164,163
19: 163,159
19: 174,179
19: 179
19: 191,193,192,190
19: 191,192,197
19: 190,196,198
19: 190,192
19: 191,193
19: 201,199,204
19: 201,205,203
19: 199,200,203
19: 200,203,207
19: 203,204,200
19: 206,203
18: 4,5,2
18: 6,0
18: 30,31,32,33
18: 30,31,33
18: 31,32,35
18: 32,30
18: 45,46,40
18: 53,58,56
18: 53,49
18: 52,49
18: 64,63,65
18: 65,62,64
18: 70,71,73,74
18: 72,74,73
18: 74,69,73
18: 69,70,73
18: 75,69
18: 77,82,84
18: 83,82
18: 88,85,86
18: 94
18: 97,96,98,102
18: 95,97,98
18: 95,96,97
18: 101,102
18: 106,107,108,112
18: 109,110
18: 119,122,124,125
18: 119,122,127
18: 123,120,124
18: 123,122
18: 120,126
18: 132,131,133,136
18: 129,130,135,138
18: 134,137,136
18: 135,129,130
18: 136,134
18: 136,138
18: 142,141,143,146
18: 140,141,143
18: 144,147
18: 154,155,152
18: 150,158,157
18: 150,154,153
18: 151,152,153
18: 151,152,158
18: 150,158
18: 159,167,163
18: 172,176,173
18: 171,172
18: 182,183,188
18: 197,190
18: 191,198
18: 204,200,203
18: 201,203,204
18: 203,200,204
18: 199,200,204
18: 202,200,206
18: 205,204
18: 204,205
17: 5,4,8
17: 0,7
17: 10,11,12,15
17: 9,18,16
17: 12,9,10
17: 40,48,45
17: 44,48
17: 50,49,51,52
17: 52,54
17: 50,54
17: 61,60,66
17: 63,64,62
17: 60,65
17: 60,66
17: 64,62
17: 61,64
17: 71,70,73,74
17: 73,69,72
17: 69,76,74
17: 74,70
17: 80,81,78
17: 81,79,78
17: 77,81,83
17: 77,79
17: 87,85,86,88
17: 86,85,87,88
17: 85,86,87,92
17: 88,93,92
17: 90,93
17: 106,107,108,113
17: 107,109
17: 124,125,120,123,122
17: 119,122,125,124
17: 123,120,125,124
17: 120,123,124,125
17: 122,120,123
17: 120,123,119
17: 124,125,119
17: 125,122
17: 129,138
17: 144,143,142,141
17: 141,142,143,146
17: 153,154,150
17: 152,155,154
17: 155,157,158
17: 160,162,161,166
17: 160,162,166
17: 170,172,171
17: 172,178
17: 182,181,180
17: 198,190
17: 203,199,204
17: 201,200,204
17: 200,205
17: 202,199
17: 199,205
16: 0,4,6
16: 4,2,1
16: 4,7
16: 9,16,15
16: 10,16
16: 24,20,21,22
16: 24,20,19
16: 19,25,28
16: 33,32,31,37
16: 34,36
16: 34,30
16: 42,41,43,40
16: 40,44,48
16: 40,46,47
16: 46,40,48
16: 40,47,44
16: 48,40
16: 48,47
16: 45,43
16: 50,52,51,49
16: 54,59
16: 51,55
16: 61,62,60
16: 65,64,62
16: 66,62
16: 71,70,74,73
16: 69,75,74
16: 69,74,76
16: 77,81,80,82
16: 78,77,79
16: 80,79,78
16: 83,84
16: 88,91,92
16: 88,92,91
16: 92,88
16: 89,92
16: 97,96,98,95
16: 95,100,96
16: 100,95
16: 95,101
16: 112,109
16: 120,123,125,124
16: 122,119,125
16: 120,123,126
16: 127,122
16: 124,121
16: 123,119
16: 123,124
16: 131,132,133,129,130
16: 132,131,133,138
16: 129,130,136,134
16: 129,135,130
16: 141,142,143,147
16: 143,144,140
16: 146,140,147
16: 140,141,144
16: 144,140,142
16: 141,144
16: 153,156,155,154
16: 151,154,155
16: 154,153,156
16: 155,158,157
16: 153,150,154
16: 155,154,151
16: 150,154,157
16: 159,169,166
16: 170,171,176
16: 172,175
16: 180,181,186
16: 182,188,187
16: 182,181
16: 182,189
16: 190,196,194,198
16: 198,194
16: 202,199,200,207
16: 200,206,207
16: 200,206,203
16: 200,201,204
16: 201,204,199
16: 203,206
16: 203,205
15: 1,2,5,4
15: 0,1,2
15: 2,1,0
15: 5,2,4
15: 2,0,1
15: 4,0,5
15: 12,10,11,9
15: 10,11,9,12
15: 12,13
15: 10,18
15: 21,22,20,25
15: 21,20,22,19
15: 19,20,22
15: 24,23,27
15: 21,19
15: 31,33,32,36
15: 30,35,31
15: 36,30,35
15: 30,39,36
15: 34,35
15: 37,30
15: 44,47,48
15: 50,54,51,52
15: 50,49,52
15: 51,53
15: 57,55
15: 60,61,65,64
15: 60,61,68
15: 62,63,65
15: 62,63,64
15: 60,64
15: 73,69,70
15: 73,70,71
15: 69,76,73
15: 73,72,69
15: 69,75,73
15: 79,78,81,82
15: 77,83,82,81
15: 82,84,83
15: 83,84,82
15: 78,77,81
15: 77,84
15: 82,83
15: 88,87,86,85
15: 88,89
15: 95,96,97,98
15: 95,99,100
15: 98,97
15: 115,118,110
15: 109,107,108
15: 109,113,111
15: 112,111
15: 110,116
15: 111,112
15: 109,115
15: 121,124,125,122
15: 124,125,119,122
15: 119,125,124,122
15: 124,125,123,120
15: 121,124,122
15: 129,130,134,136
15: 131,132,129,130
15: 131,132,135
15: 129,132,131
15: 143,142,141,146
15: 142,141,143,140
15: 140,142,143
15: 144,140,143
15: 140,143,144
15: 148,140
15: 150,155,158,157
15: 150,155,154,157
15: 151,152,154,150
15: 152,154,151
15: 150,152,154
15: 150,153,155
15: 155,158,150
15: 152,157
15: 160,162,161,159
15: 160,159,166
15: 159,165,164
15: 167,159
15: 163,167
15: 173,171
15: 173,176
15: 181,180,183
15: 182,187,188
15: 182,180,181
15: 181,180,182
15: 188,187
15: 191,192,193,190
15: 191,193,192,194
15: 190,194,198,196
15: 195,197,196
15: 197,190,196
15: 194,196
15: 191,197
15: 204,203,201
15: 200,203,205
15: 205,203
15: 204,200
15: 200,207
14: 5,4,2,1
14: 5,1,2
14: 1,2,6
14: 4,5,7
14: 7,4
14: 0,3
14: 12,11,10,9
14: 9,12,10
14: 9,14,13
14: 19,21,20
14: 23,24,26
14: 23,24,27
14: 19,24,23
14: 23,26,27
14: 23,28
14: 30,31,35
14: 34,38,35
14: 30,33,31
14: 31,37
14: 33,35
14: 46,41,42,43
14: 40,46,48
14: 40,41,43
14: 43,45
14: 50,51,52,57
14: 55,49
14: 62,63,64,65
14: 60,61,63
14: 63,64,61
14: 64,62,65
14: 66,68
14: 70,71,74,73
14: 73,74,70,71
14: 73,74,71
14: 69,73,71
14: 72,73,70
14: 73,70,69
14: 70,71,76
14: 70,72
14: 78,79,77,83
14: 79,78,82,81
14: 77,83,82,84
14: 77,82,80
14: 81,78,82
14: 78,80
14: 79,77
14: 79,82
14: 87,86,85,88
14: 88,87,86
14: 97,96,95
14: 100,104
14: 95,98
14: 113,109,116
14: 109,108,107
14: 109,113,112
14: 109,114
14: 122,125,124,119
14: 122,119,126
14: 124,119,122
14: 122,127,126
14: 122,120
14: 120,122
14: 119,125
14: 119,120
14: 132,131,133,129
14: 129,130,139,138
14: 131,132,129
14: 129,130,137
14: 131,129,132
14: 138,136
14: 134,131
14: 140,144,142
14: 140,148,144
14: 145,149,146
14: 144,148,140
14: 144,146
14: 151,152,150,154
14: 151,152,157,155
14: 158,155,150
14: 154,150,157
14: 150,151,155
14: 153,151,152
14: 154,156,153
14: 152,151,157
14: 151,150
14: 157,155
14: 155,152
14: 160,162,161,167
14: 162,160,166
14: 161,167
14: 171,178
14: 182,183,189
14: 181,180,188
14: 181,180,187
14: 188,182
14: 187,188
14: 191,192,193,196
14: 190,191,193,192
14: 198,190,194
14: 198,191
14: 196,198
14: 201,205,204,203
14: 200,199,202,206
14: 200,199,207
14: 200,199,202
14: 203,204,201
14: 199,200,206
14: 202,200,207
14: 203,207
13: 0,4,6,7
13: 0,4,7
13: 4,6,7
13: 1,2,0
13: 3,0
13: 5,3
13: 5,2
13: 1,5
13: 9,10,11,12
13: 10,15
13: 12,15
13: 12,18
13: 9,11
13: 14,13
13: 20,21,22,28
13: 19,23,24
13: 20,21,25
13: 19,22,20
13: 24,23,19
13: 20,24
13: 33,32,31,30
13: 34,35,36
13: 35,31
13: 37,39
13: 35,34
13: 41,42,43,44
13: 43,42,41,46
13: 46,45,40
13: 41,42,45
13: 52,51,50,54
13: 51,52,49
13: 52,55
13: 60,61,64,62
13: 63,61,60
13: 62,65,68
13: 63,62,65
13: 63,64,60
13: 64,65,62
13: 65,63
13: 70,71,69,73
13: 70,71,73,69
13: 71,73,70
13: 74,72,73
13: 73,70,72
13: 71,75
13: 70,74
13: 75,76
13: 78,79,81,80
13: 82,81,78,79
13: 80,81,78,79
13: 77,83,81
13: 79,78,83
13: 78,79,84
13: 82,77,83
13: 80,79
13: 86,85,87,90
13: 85,86,87,93
13: 85,88
13: 95,100,99,104
13: 95,99,104
13: 102,99,95
13: 99,102,95
13: 95,104,99
13: 99,104,100
13: 99,104,95
13: 95,103
13: 99,104
13: 111,112,109
13: 109,106,108
13: 114,109
13: 122,124,125,119
13: 127,126,122
13: 126,119,122
13: 119,121,124
13: 126,127,122
13: 121,119,122
13: 121,122,124
13: 119,122,123
13: 123,120,121
13: 123,120,126
13: 126,119
13: 133,132,131,136
13: 132,131,133,139
13: 135,131
13: 139,135
13: 134,136
13: 142,141,143,144
13: 143,144,142,141
13: 144,143,140
13: 144,141,143
13: 141,140,143
13: 140,146,145
13: 144,140,146
13: 140,141,146
13: 155,154,152,151
13: 150,152,151,154
13: 154,153,156,155
13: 154,155,152,151
13: 150,154,155,157
13: 157,158,155
13: 155,152,151
13: 154,155,156
13: 157,150,155
13: 155,150,158
13: 154,151,155
13: 160,161,162,166
13: 167,159,165
13: 166,169
13: 172,173,177
13: 182,186
13: 191,192,193,197
13: 193,190,191
13: 195,190
13: 195,191
13: 201,203,205
13: 200,201,203
13: 199,200,201
12: 4,5,2,1
12: 2,6,1
12: 5,1
12: 4,2
12: 9,16,18,15
12: 10,11,12,18
12: 10,11,12,14
12: 9,14,16
12: 10,12,9
12: 15,9
12: 13,9
12: 21,20,22,25
12: 20,21,22,27
12: 20,24,21,22
12: 24,22,23
12: 23,24,28
12: 24,23,28
12: 24,19,23
12: 25,19
12: 20,25
12: 30,36,37,39
12: 31,32,33,39
12: 31,32,35,33
12: 30,37,31
12: 30,36,31
12: 31,30,35
12: 33,31,30
12: 30,32,31
12: 30,36,39
12: 32,36
12: 43,42,41,47
12: 43,42,41,40
12: 43,41,40
12: 44,48,47
12: 46,40,45
12: 43,46
12: 51,50,52,49
12: 49,51,52,50
12: 56,58
12: 56,49
12: 63,64,62,65
12: 61,60,65,64
12: 60,63,61
12: 62,65,66
12: 62,61,65
12: 65,60,61
12: 73,74,71,70
12: 69,76,74,75
12: 74,69,75
12: 72,69,73
12: 69,72,74
12: 69,73,76
12: 71,70,76
12: 74,71,70
12: 71,76
12: 75,70
12: 77,81,83,82
12: 78,79,77,82
12: 77,78,82
12: 77,82,78
12: 79,78,80
12: 81,77,78
12: 77,79,78
12: 83,78,79
12: 80,77,81
12: 82,84
12: 88,86,85
12: 88,90,87
12: 88,92,90
12: 85,90
12: 86,88
12: 97,96,98,99
12: 96,97,98,105
12: 95,100,105
12: 95,104,100
12: 102,95,99
12: 99,95,102
12: 99,102,104
12: 98,95
12: 116,109
12: 122,119,127
12: 121,124,119
12: 122,126,127
12: 120,123,124
12: 123,122,120
12: 124,121,125
12: 122,123
12: 119,127
12: 129,130,135,136
12: 129,130,138,135
