# UNIQUE PLAYERS: 84
4: 0,1,2,3,4,5
1: 0,14,32,27,4,23
1: 32,45,12,2,16,6
1: 42,39,27,38,30,16
1: 6,35,37,45,27,10
1: 17,44,9,28,16,2
1: 40,33,27,29,37,11
1: 39,24,18,32,23,4
1: 24,25,26,46,38,1
1: 42,28,32,27,8,47
1: 17,33,14,41,28,1
1: 40,3,5,31,30,23
1: 39,1,4,41,32,20
1: 34,9,45,46,43,23
1: 6,19,22,20,11,36
1: 29,31,4,21,3,10
1: 35,12,13,33,0,43
1: 34,39,33,43,4,38
1: 42,18,26,31,29,28
1: 23,12,38,11,0,36
1: 41,44,46,37,7,16
1: 17,9,13,3,4,16
1: 35,32,44,24,10,1
1: 32,12,37,47,13,2
1: 6,29,45,20,36,2
1: 6,41,27,14,43,21
1: 42,38,27,16,30,39
1: 42,6,8,28,14,25
1: 24,26,0,40,8,15
1: 40,26,23,16,33,37
1: 17,18,20,19,21,2
1: 44,6,27,26,3,2
1: 7,30,10,31,36,29
1: 34,22,30,11,47,10
1: 35,27,38,5,39,4
1: 29,7,31,32,15,43
1: 12,24,9,41,1,3
1: 6,47,8,13,20,1
1: 24,18,32,4,39,23
1: 29,40,37,33,27,11
1: 17,44,16,9,28,2
1: 29,30,7,10,36,31
1: 6,26,44,3,27,2
1: 42,24,40,47,11,43
1: 42,45,30,43,3,19
1: 22,31,41,15,7,10
1: 25,38,33,45,21,9
1: 39,41,32,4,20,1
1: 34,17,5,0,19,28
1: 12,38,14,5,21,46
1: 34,25,35,26,0,36
1: 39,47,1,45,19,38
1: 17,42,25,46,5,36
1: 12,41,28,16,21,43
1: 38,12,46,5,21,14
1: 13,12,14,15,8,16
1: 42,25,17,5,36,46
1: 34,35,25,26,0,36
1: 39,38,47,45,19,1
1: 6,7,8,9,11,10
1: 12,28,41,21,16,43
1: 24,18,35,3,37,31
1: 7,44,41,37,46,16
1: 28,15,29,22,30,31
1: 17,25,33,32,21,11
1: 6,40,18,42,12,8
1: 32,37,13,12,47,2
1: 17,33,28,1,14,41
1: 9,20,39,38,36,23
1: 17,24,26,25,27,1
1: 28,42,41,44,11,36
1: 47,45,13,35,26,43
1: 29,44,40,13,30,20
1: 6,7,10,8,11,9
1: 27,0,23,14,32,4
1: 30,40,13,15,21,10
1: 6,45,12,16,32,2
1: 32,0,4,27,23,14
1: 35,37,24,31,18,3
1: 34,23,46,45,43,9
1: 25,35,7,44,18,5
1: 18,29,47,5,9,46
1: 34,39,33,4,43,38
1: 22,19,6,11,20,36
1: 4,10,21,3,31,29
1: 42,39,27,38,16,30
1: 6,2,27,26,44,3
1: 29,30,31,10,7,36
1: 6,12,45,32,16,2
1: 40,13,30,15,21,10
1: 18,29,47,9,5,46
1: 34,22,33,26,15,2
1: 24,42,47,43,11,40
1: 34,39,38,33,43,4
1: 34,19,17,28,0,5
1: 33,25,45,38,21,9
1: 18,35,22,46,37,23
1: 13,29,40,44,20,30
1: 42,28,41,11,44,36
1: 14,19,22,8,23,3
1: 17,24,27,1,26,25
1: 32,41,20,4,39,1
1: 47,25,30,45,7,20
1: 27,6,43,21,14,41
1: 31,18,13,8,16,2
1: 35,37,31,7,0,20
1: 0,38,12,23,11,36
1: 33,8,39,5,15,37
1: 42,32,47,28,27,8
1: 34,19,46,22,40,2
1: 34,22,37,44,19,14
1: 42,6,25,8,14,28
1: 10,24,44,1,32,35
1: 17,13,4,16,9,3
1: 39,17,21,7,11,4
1: 24,46,25,38,26,1
1: 45,6,29,20,36,2
1: 9,18,41,15,16,10
1: 34,44,38,15,11,40
1: 0,45,46,36,13,44
1: 35,12,0,33,43,13
1: 18,2,8,16,31,13
1: 35,37,0,7,31,20
1: 33,26,16,40,37,23
1: 34,22,30,47,10,11
1: 32,31,29,7,43,15
1: 25,33,20,4,26,39
1: 35,39,38,27,5,4
1: 0,47,22,30,5,1
1: 34,19,24,14,10,27
1: 24,3,9,14,36,46
1: 6,35,45,37,27,10
1: 42,45,30,19,3,43
1: 39,20,9,36,38,23
1: 25,7,18,35,44,5
1: 47,12,37,2,32,13
1: 18,32,39,24,23,4
1: 17,9,44,28,2,16
1: 34,45,46,23,43,9
1: 40,29,33,37,27,11
1: 34,40,44,38,15,11
1: 24,46,3,9,14,36
1: 7,15,22,10,31,41
1: 17,44,28,9,16,2
1: 42,3,43,45,30,19
1: 32,23,4,39,18,24
1: 6,47,20,8,13,1
1: 34,15,11,40,44,38
1: 37,44,41,7,46,16
1: 0,47,22,1,30,5
1: 6,37,35,27,45,10
1: 34,24,19,14,27,10
1: 45,13,26,35,43,47
1: 6,42,18,8,12,40
1: 47,18,29,5,9,46
1: 6,47,8,20,13,1
1: 12,21,5,46,14,38
1: 6,45,29,2,20,36
1: 35,24,10,1,32,44
1: 25,1,26,46,24,38
1: 18,31,26,42,28,29
1: 19,22,40,46,34,2
1: 8,5,33,15,39,37
1: 12,36,11,0,38,23
1: 3,17,4,16,9,13
1: 7,25,20,47,45,30
1: 36,45,0,13,46,44
1: 7,15,32,43,31,29
1: 35,39,38,4,5,27
1: 6,21,41,43,27,14
1: 24,1,12,41,9,3
1: 6,42,25,8,14,28
1: 20,2,21,18,17,19
1: 35,0,13,33,43,12
1: 33,40,16,26,37,23
1: 18,9,41,10,16,15
1: 45,12,6,32,2,16
1: 17,24,25,27,1,26
1: 15,10,40,21,13,30
1: 34,33,15,22,26,2
1: 42,44,41,36,28,11
1: 44,29,13,30,40,20
1: 32,0,4,14,27,23
1: 34,22,47,30,10,11
1: 35,7,31,0,37,20
1: 31,13,18,2,8,16
1: 34,19,44,22,14,37
1: 42,47,27,8,32,28
1: 33,39,26,20,4,25
1: 32,17,12,43,7,28
1: 47,1,30,22,0,5
1: 29,10,21,31,3,4
1: 19,6,22,20,11,36
1: 42,17,5,46,25,36
1: 42,45,43,3,19,30
1: 13,40,15,10,30,21
1: 18,29,46,9,5,47
1: 42,36,11,41,28,44
1: 41,12,21,43,28,16
1: 3,5,30,40,23,31
1: 42,41,21,19,29,23
1: 12,21,41,28,43,16
1: 46,42,25,17,36,5
1: 45,39,19,38,1,47
1: 26,25,39,33,4,20
1: 24,3,14,36,46,9
1: 19,22,8,3,14,23
1: 5,40,3,23,30,31
1: 42,26,31,18,29,28
1: 41,22,31,7,10,15
1: 35,18,37,46,23,22
1: 13,16,12,15,14,8
1: 0,45,44,13,36,46
1: 33,25,45,38,9,21
1: 12,6,42,40,8,18
1: 35,47,26,45,13,43
1: 32,33,25,11,21,17
1: 22,15,28,29,30,31
1: 34,24,27,19,10,14
1: 39,33,37,8,5,15
1: 47,7,25,30,45,20
1: 34,40,46,22,2,19
1: 13,12,8,14,15,16
1: 34,44,37,19,22,14
1: 35,25,18,7,44,5
1: 23,22,46,35,37,18
1: 24,42,47,40,11,43
1: 18,9,15,41,10,16
1: 42,11,44,41,36,28
1: 6,9,7,8,11,10
1: 30,29,7,31,36,10
1: 6,12,2,32,16,45
1: 45,38,25,33,21,9
1: 18,35,37,46,23,22
1: 6,41,14,43,27,21
1: 18,41,10,16,9,15
1: 35,7,18,25,5,44
1: 33,1,17,41,14,28
1: 35,1,10,24,32,44
1: 34,19,14,27,24,10
1: 4,0,1,2,3,5
1: 34,40,19,22,46,2
1: 30,20,7,45,47,25
1: 6,13,8,47,20,1
1: 24,32,18,4,23,39
1: 24,38,25,26,46,1
1: 6,20,2,45,36,29
1: 39,45,47,38,1,19
1: 12,2,47,32,37,13
1: 35,18,7,44,25,5
1: 39,32,4,20,41,1
1: 38,25,33,9,21,45
1: 54,56,57,55,59,58
1: 79,51,66,53,58,55
1: 48,80,52,83,54,59
1: 56,76,81,64,73,78
1: 50,72,76,61,83,82
1: 66,77,73,81,82,71
1: 61,75,54,68,65,59
1: 62,76,74,56,83,78
1: 60,63,79,64,55,58
1: 80,69,70,67,72,57
1: 72,76,67,63,71,59
1: 48,64,70,61,77,68
1: 79,66,51,58,55,53
1: 48,54,83,80,52,59
1: 69,51,61,64,77,68
1: 81,72,76,53,74,71
1: 62,67,52,77,68,78
1: 60,80,48,75,62,78
1: 75,76,77,49,55,78
1: 70,53,73,51,57,71
1: 72,66,82,50,67,58
1: 52,82,73,49,57,55
1: 83,50,70,58,79,56
1: 54,67,66,63,65,59
1: 69,81,74,56,68,79
1: 62,61,67,73,55,59
1: 80,52,57,51,83,65
1: 76,54,64,74,71,72
1: 50,69,81,79,68,78
1: 48,60,49,82,56,58
1: 82,49,66,61,76,77
1: 80,81,65,79,73,57
1: 52,54,77,48,53,63
1: 69,50,83,59,62,76
1: 60,64,61,82,74,68
1: 55,65,79,70,66,64
1: 49,51,56,78,55,58
1: 48,75,83,74,56,78
1: 70,79,73,69,83,78
1: 60,80,81,69,77,49
1: 82,54,50,73,68,58
1: 61,62,52,51,53,57
1: 80,76,67,82,83,63
1: 73,58,68,81,51,55
1: 48,79,75,77,74,78
1: 66,70,67,75,72,71
1: 66,50,64,61,52,59
1: 73,82,54,50,58,68
1: 79,70,69,83,73,78
1: 66,79,63,65,53,59
1: 80,69,72,67,52,78
1: 83,50,70,56,79,58
1: 60,50,73,64,74,56
1: 49,50,69,63,79,58
1: 54,52,48,63,77,53
1: 80,81,73,65,79,57
1: 66,82,76,61,77,49
1: 67,60,55,52,58,68
1: 48,54,62,72,65,64
1: 60,69,80,49,81,77
1: 74,75,80,57,51,59
1: 52,61,62,51,57,53
1: 81,73,68,51,55,58
1: 66,52,64,50,61,59
1: 69,54,49,65,70,71
1: 76,63,80,83,82,67
1: 62,52,67,78,68,77
1: 72,82,76,50,83,61
1: 72,66,70,67,75,71
1: 81,64,76,73,56,78
1: 49,51,78,58,56,55
1: 66,70,53,51,68,71
1: 76,51,70,81,77,71
1: 60,82,64,61,74,68
1: 81,76,74,72,53,71
1: 82,52,49,73,57,55
1: 69,80,67,72,70,57
1: 69,61,64,51,77,68
1: 61,48,64,70,77,68
1: 69,66,72,76,82,52
1: 60,80,62,48,75,78
1: 62,76,83,74,56,78
1: 66,81,82,73,77,71
1: 63,60,64,79,55,58
1: 54,61,75,65,59,68
1: 48,49,50,52,51,53
1: 62,75,70,79,77,74
1: 60,67,76,52,53,83
1: 48,54,75,71,74,56
1: 60,79,56,71,55,53
1: 70,60,81,69,57,63
1: 66,61,48,63,78,65
1: 80,67,52,69,72,78
1: 75,54,62,48,55,58
1: 66,79,63,53,59,65
1: 73,64,49,80,59,65
1: 80,49,73,64,65,59
1: 70,81,76,77,51,71
1: 49,61,82,83,57,68
1: 80,83,52,51,65,57
1: 54,76,64,74,72,71
1: 66,70,63,75,77,53
1: 66,50,82,67,72,58
1: 80,69,82,73,68,71
1: 63,48,66,61,65,78
1: 83,50,70,79,56,58
1: 60,66,64,54,51,59
1: 60,48,49,82,56,58
1: 48,50,76,75,61,63
1: 66,54,63,67,65,59
1: 62,48,72,64,54,65
1: 60,52,67,68,55,58
1: 60,61,77,74,57,55
1: 80,81,79,73,65,57
1: 63,48,54,52,77,53
1: 50,73,62,67,51,58
1: 82,69,52,66,76,72
1: 73,64,81,76,56,78
1: 72,82,50,83,61,76
1: 52,67,77,62,68,78
1: 60,64,82,61,74,68
1: 60,80,69,49,81,77
1: 52,62,61,51,57,53
1: 60,55,63,64,79,58
1: 78,72,67,69,52,80
1: 66,77,70,75,63,53
1: 66,65,54,67,63,59
1: 73,70,69,79,83,78
1: 50,81,63,56,53,71
1: 66,70,51,71,68,53
1: 79,49,69,50,63,58
1: 72,76,63,67,71,59
1: 66,79,51,53,55,58
1: 80,49,64,65,73,59
1: 80,82,76,67,83,63
1: 66,70,72,67,75,71
1: 48,75,54,56,74,71
1: 60,62,72,53,57,56
1: 54,65,69,70,49,71
1: 48,75,77,79,74,78
1: 69,49,81,62,56,58
1: 49,80,64,73,65,59
1: 48,61,75,50,63,76
1: 74,48,54,56,75,71
1: 69,79,50,81,68,78
1: 80,52,65,83,51,57
1: 78,83,49,75,81,65
1: 50,62,73,67,51,58
1: 69,82,66,72,76,52
1: 76,54,64,72,71,74
1: 70,66,63,75,53,77
1: 67,62,61,73,59,55
1: 69,81,79,56,74,68
1: 70,73,57,51,53,71
1: 76,64,72,54,71,74
1: 48,70,64,61,77,68
1: 69,81,56,79,74,68
1: 70,66,75,63,77,53
1: 62,67,73,61,55,59
1: 60,63,61,62,64,65
1: 70,73,51,71,57,53
1: 72,66,50,82,67,58
1: 80,69,52,72,67,78
1: 63,53,66,65,79,59
1: 70,76,81,77,51,71
1: 63,69,49,50,79,58
1: 60,61,77,57,74,55
1: 63,66,48,61,65,78
1: 50,49,81,64,72,51
1: 54,57,56,55,59,58
1: 60,64,63,61,62,65
1: 60,83,67,76,52,53
1: 69,80,82,73,68,71
1: 76,77,49,75,55,78
1: 66,82,67,72,50,58
1: 64,73,81,56,76,78
1: 72,80,52,65,54,59
1: 62,75,70,77,74,79
1: 48,49,50,52,53,51
1: 76,82,61,72,50,83
1: 67,62,52,77,68,78
1: 64,80,73,49,59,65
1: 48,54,56,75,74,71
1: 60,70,69,57,81,63
1: 80,82,73,69,71,68
1: 60,52,67,53,76,83
1: 75,79,62,70,74,77
1: 83,80,48,54,52,59
1: 60,79,56,53,55,71
1: 48,50,52,51,49,53
1: 69,66,76,52,82,72
1: 49,75,65,83,81,78
1: 80,54,63,74,57,59
1: 50,49,51,64,81,72
1: 60,63,64,79,55,58
1: 63,78,66,48,61,65
1: 67,50,62,51,73,58
1: 48,83,75,74,56,78
1: 63,76,71,67,72,59
1: 80,69,70,72,67,57
1: 83,62,78,76,74,56
1: 61,54,75,68,65,59
1: 51,62,52,61,57,53
1: 50,73,54,68,82,58
1: 64,79,66,70,65,55
1: 49,82,61,76,66,77
1: 50,81,63,71,56,53
1: 70,79,69,83,73,78
1: 80,79,81,73,65,57
1: 54,64,62,48,72,65
1: 59,62,83,76,50,69
1: 82,66,73,81,77,71
1: 66,50,52,61,64,59
1: 60,61,82,64,74,68
1: 66,72,70,67,75,71
1: 72,80,69,67,70,57
1: 74,76,62,83,56,78
1: 54,75,61,68,65,59
1: 80,82,67,83,63,76
1: 48,62,60,80,75,78
1: 62,60,56,53,72,57
1: 76,81,72,74,53,71
1: 75,48,62,54,55,58
1: 48,77,75,74,79,78
1: 69,64,77,51,61,68
1: 50,70,83,79,56,58
1: 49,82,52,73,57,55
1: 69,81,79,50,78,68
1: 60,77,61,57,74,55
1: 51,66,70,68,53,71
1: 72,80,52,54,65,59
1: 49,69,50,63,79,58
1: 48,50,61,63,75,76
1: 66,54,60,64,51,59
1: 76,81,64,73,56,78
1: 66,82,81,77,73,71
1: 69,51,64,68,77,61
1: 83,80,51,52,57,65
1: 54,66,51,64,60,59
1: 69,79,81,50,68,78
1: 48,75,61,50,63,76
1: 69,49,62,81,56,58
1: 66,77,73,82,81,71
1: 80,52,69,72,67,78
1: 66,63,79,53,65,59
1: 60,50,73,64,56,74
1: 76,81,74,53,71,72
1: 49,73,52,82,57,55
1: 70,79,50,83,56,58
1: 48,54,62,75,55,58
1: 76,81,51,70,77,71
1: 79,75,62,70,77,74
1: 69,62,49,56,81,58
1: 76,54,64,71,72,74
1: 57,80,51,75,59,74
1: 50,71,81,53,56,63
1: 72,54,62,64,65,48
1: 69,49,77,80,81,60
1: 64,66,65,79,55,70
1: 50,54,73,82,58,68
1: 61,51,62,57,52,53
1: 69,73,83,78,79,70
1: 74,48,83,56,75,78
1: 50,66,61,64,59,52
1: 69,54,49,70,71,65
1: 62,60,72,56,57,53
1: 59,72,71,63,67,76
1: 78,48,75,79,77,74
1: 55,78,58,56,51,49
1: 66,70,75,67,71,72
1: 61,60,82,64,68,74
1: 83,67,80,63,82,76
1: 69,50,62,83,76,59
1: 82,69,80,73,68,71
1: 66,48,61,65,63,78
1: 60,52,76,83,67,53
1: 80,52,54,83,48,59
1: 50,64,81,72,51,49
1: 54,56,55,57,58,59
1: 49,77,76,75,78,55
1: 66,72,50,82,67,58
1: 81,73,51,55,68,58
1: 54,75,61,65,68,59
1: 76,62,83,78,56,74
1: 76,49,82,66,61,77
1: 55,67,58,60,52,68
1: 73,80,79,57,81,65
1: 48,60,62,75,80,78
1: 52,82,49,57,73,55
1: 81,76,74,72,71,53
1: 52,62,68,77,67,78
1: 72,82,61,50,83,76
1: 69,81,74,79,68,56
1: 50,69,79,81,68,78
1: 60,83,53,76,52,67
1: 70,77,62,74,75,79
1: 50,51,72,49,81,64
1: 70,51,73,71,53,57
1: 54,77,63,53,52,48
1: 70,80,69,72,67,57
1: 70,73,71,53,51,57
1: 79,74,68,69,81,56
1: 55,59,73,61,62,67
1: 66,54,67,65,59,63
1: 48,60,62,80,75,78
1: 64,77,69,51,61,68
1: 60,64,63,79,55,58
1: 54,63,52,48,77,53
1: 69,49,81,60,77,80
1: 52,80,83,51,57,65
1: 80,54,57,74,63,59
1: 64,48,61,70,77,68
1: 50,64,66,52,61,59
1: 49,81,75,83,65,78
1: 81,76,70,51,77,71
1: 83,49,82,61,57,68
1: 65,79,59,53,63,66
1: 50,60,64,73,56,74
1: 75,54,62,58,48,55
1: 82,50,54,73,68,58
1: 75,83,56,48,74,78
1: 70,66,64,79,65,55
1: 48,77,64,61,70,68
1: 61,49,82,66,77,76
1: 80,54,59,57,63,74
1: 83,50,76,69,62,59
1: 64,72,81,49,51,50
1: 63,60,61,62,64,65
1: 60,81,70,63,69,57
1: 80,69,82,73,71,68
1: 49,83,65,78,75,81
1: 57,54,74,63,59,80
1: 76,63,67,72,71,59
1: 69,50,83,62,76,59
1: 60,57,77,55,61,74
1: 48,75,78,79,77,74
1: 63,50,81,56,71,53
1: 48,75,62,54,58,55
1: 67,54,66,63,65,59
1: 64,66,70,79,65,55
1: 48,83,74,75,56,78
1: 81,69,49,62,56,58
1: 48,63,50,61,75,76
1: 48,72,62,64,54,65
1: 80,75,74,51,57,59
1: 66,70,77,75,63,53
1: 62,61,73,67,55,59
1: 60,77,74,61,55,57
1: 69,63,50,79,49,58
1: 72,80,54,52,65,59
1: 69,66,76,82,52,72
1: 78,49,83,75,81,65
