# UNIQUE PLAYERS: 5
9551: 1
604: 3,5,2,1,4
587: 5,2,3,1,4
582: 5,3,2,1,4
577: 5,4,1,2
471: 2,3,4
461: 1,4,3
460: 4,5,1,2
458: 5,2,4,1
449: 5,1,4,2
449: 4,1,5,2
442: 5,1,2,4
437: 1,3,4
426: 2,4,3
423: 4,3,5
421: 5,2,1,4
415: 5,4,2,1
391: 2,5,3
382: 4,1,3
357: 4,5,1
351: 4,5,3
342: 2,4,1
337: 3,2,4
337: 2,5,1
331: 5,4,3
319: 2,3,5
315: 2,1,4
312: 3,4,5
310: 5,1,4
307: 3,5,1
306: 4,3,1
305: 5,4,1
303: 3,5,4
301: 5,1,2
300: 4,1,5
293: 2,4,5
291: 1,5,4
288: 1,3,2
287: 2,1,5
285: 4,5,2,1
282: 1,4,2
280: 3,2,1
279: 3,4,2
277: 3,1,2
276: 2,5,4
273: 5,4,2
271: 1,2,4
269: 1,2,5
269: 4,1,2,5
268: 3,1,4
257: 1,4,5
256: 3,4,1
253: 1,3,5
252: 2,4,5,1
252: 4,2,5,1
250: 5,2,1
249: 2,5,1,4
246: 1,2,3
246: 5,2,4
246: 4,5,2
243: 1,5,2
243: 5,3,1
243: 2,1,3
239: 4,1,2
238: 4,2,1
238: 2,5,4,1
234: 3,2,5
234: 4,2,5
229: 5,3,4
229: 1,4,5,2
228: 2,3,1
226: 5,1,3
222: 4,2,3
215: 1,5,3
215: 4,3,2
214: 3,1,5
212: 3,5,2
208: 4,2,1,5
203: 5,3,2
198: 1,5,4,2
185: 5,2,3
170: 1,4,2,5
169: 1,2,4,5
156: 2,4,1,5
155: 1,5,2,4
130: 2,1,4,5
127: 2,1,5,4
119: 1,2,5,4
93: 3,1,5,2
92: 2,3,4,5
92: 2,4,3,5
88: 3,2,5,1
75: 3,5,1,2
66: 3,4,2,5
65: 2,3,5,4
62: 3,2,1,5
62: 3,2,4,5
60: 4,3,5,2
56: 3,5,2,1
52: 2,5,3,4
50: 1,4,3,5
50: 3,4,5,2
49: 5,3,1,2
47: 5,1,2,3
46: 1,3,2,5
45: 1,3,4,5
44: 1,3,5,2
43: 4,5,1,3
42: 2,4,5,3
42: 3,1,2,5
42: 4,1,3,5
41: 2,5,3,1
40: 2,3,1,5
40: 4,3,2,5
39: 5,3,2,1
38: 5,3,4,2
38: 2,5,1,3
38: 3,5,4,2
37: 3,2,5,4
36: 2,3,5,1
36: 2,5,4,3
36: 4,2,5,3
35: 4,2,3,5
35: 5,2,3,4
35: 4,5,3,1
35: 3,5,2,4
35: 1,5,4,3
34: 5,3,2,4
34: 4,3,1,5
34: 5,1,4,3
34: 1,2,5,3
33: 3,1,4,2
33: 1,4,5,3
33: 5,2,1,3
31: 5,3,1,4
31: 1,5,3,2
31: 4,3,5,1
31: 4,1,5,3
30: 5,4,3,2
30: 3,5,1,4
29: 1,3,5,4
29: 4,5,2,3
29: 5,1,3,2
28: 1,5,3,4
28: 5,4,2,3
28: 2,1,3,5
28: 1,5,2,3
27: 1,2,4,3
27: 1,2,3,5
27: 4,5,3,2
26: 3,1,2,4
26: 5,4,3,1
26: 5,1,3,4
25: 2,1,3,4
24: 3,1,5,4
24: 5,3,4,1
24: 3,4,1,5
23: 2,4,3,1
23: 3,1,4,5
23: 1,3,2,4
23: 2,1,5,3
23: 3,4,5,1
22: 1,4,3,2
22: 5,2,4,3
22: 5,2,3,1
21: 1,3,4,2
21: 1,4,2,3
21: 3,5,4,1
20: 4,1,3,2
19: 3,2,1,4
19: 5,4,1,3
19: 4,2,1,3
18: 2,3,4,1
18: 3,2,4,1
18: 2,4,1,3
18: 4,3,2,1
16: 2,1,4,3
16: 4,1,2,3
14: 4,2,3,1
13: 1,2,3,4
12: 3,4,2,1
11: 4,3,1,2
10: 2,3,1,4
9: 3,4,1,2
