1 2 3 4 5 6
35 45 39 41 16 12
36 32 1 38 8 21
19 14 9 17 32 3
23 9 15 20 24 4
43 22 30 42 20 24
42 44 22 28 7 15
39 43 31 40 28 17
35 34 3 23 27 16
21 14 41 45 30 31
25 10 4 15 37 47
31 1 23 6 2 48
30 11 4 32 22 5
26 34 27 21 5 40
33 5 28 15 1 24
13 29 22 44 17 42
25 19 32 36 38 4
18 33 13 8 29 44
36 7 28 11 46 38
18 43 26 37 47 6
40 39 46 20 48 2
32 8 16 11 42 23
6 13 39 47 22 15
20 43 46 4 44 31
41 38 30 12 34 28
18 45 29 3 10 17
43 48 9 28 29 33
35 23 45 15 38 20
18 8 40 5 12 22
6 32 4 31 41 24
42 19 10 16 11 17
14 36 1 13 34 44
35 23 20 47 41 3
29 15 43 7 26 9
31 26 46 48 8 21
18 5 14 10 4 17
30 43 27 29 19 32
34 40 6 16 9 38
13 39 1 12 37 24
30 33 8 32 16 44
41 34 27 24 38 17
31 12 23 11 48 35
13 42 25 10 2 4
36 40 28 39 5 6
18 19 20 3 21 22
1 14 45 46 47 37
40 38 16 9 34 6
18 14 5 10 4 17
18 26 34 22 12 33
45 8 38 42 17 47
7 28 36 46 11 38
30 23 29 31 16 32
33 14 38 48 13 3
41 31 32 24 4 6
18 8 5 12 22 40
35 45 20 23 15 38
43 28 9 48 33 29
25 39 26 2 47 27
43 19 27 32 29 30
7 46 21 37 3 30
13 12 1 39 24 37
48 35 12 11 23 31
36 40 6 5 39 28
46 47 1 45 14 37
30 33 16 8 44 32
38 41 34 24 17 27
30 22 5 32 4 11
7 23 20 21 37 12
35 46 10 44 24 47
7 43 26 29 9 15
10 21 40 24 39 37
43 7 13 41 19 9
36 13 1 14 34 44
31 23 6 1 2 48
18 33 29 13 8 44
43 20 42 30 22 24
25 10 15 37 47 4
35 18 6 20 29 1
33 42 5 2 40 21
40 34 21 27 26 5
14 32 19 9 3 17
35 41 45 16 12 39
36 38 8 1 32 21
40 35 39 34 44 5
30 19 48 10 6 47
31 14 16 41 11 22
7 27 3 4 45 28
43 48 44 25 12 41
8 11 30 31 32 37
45 47 38 42 8 17
35 28 25 20 15 11
25 1 9 27 41 16
1 25 41 27 16 9
43 7 41 13 19 9
36 48 14 46 27 44
42 23 8 32 16 11
13 22 6 15 39 47
1 15 33 28 5 24
33 46 13 3 17 7
43 40 28 39 31 17
7 36 38 46 28 11
18 45 10 29 17 3
41 34 28 30 38 12
40 25 19 33 24 5
25 26 27 47 39 2
43 29 33 28 9 48
18 34 15 42 29 2
41 4 6 32 31 24
40 2 5 42 33 21
35 10 46 47 44 24
7 20 23 21 12 37
30 32 5 22 4 11
36 13 14 34 1 44
35 40 34 44 5 39
43 19 27 32 30 29
24 13 39 12 1 37
42 45 47 38 8 17
18 10 14 4 5 17
36 33 45 25 11 2
33 13 38 48 14 3
7 30 46 21 37 3
7 42 28 15 44 22
43 39 28 17 31 40
43 7 9 29 15 26
25 27 1 41 9 16
41 27 24 17 34 38
18 19 21 20 22 3
45 7 28 27 4 3
8 31 11 32 37 30
35 23 31 12 48 11
36 28 39 6 40 5
30 8 32 33 16 44
13 25 10 42 2 4
7 48 9 14 21 2
25 19 33 5 40 24
30 41 38 34 28 12
18 45 17 10 29 3
30 31 8 11 37 32
7 27 45 4 28 3
43 25 41 48 12 44
43 46 31 44 4 20
23 32 42 16 8 11
26 39 34 46 22 10
40 42 33 5 21 2
35 18 6 1 20 29
13 39 15 6 22 47
35 26 36 27 1 37
40 48 2 46 20 39
18 43 26 47 6 37
13 42 29 17 22 44
39 13 47 6 22 15
14 13 15 16 9 17
43 26 18 6 37 47
35 36 26 27 1 37
40 39 48 46 20 2
7 8 9 10 12 11
13 29 42 22 17 44
25 19 36 4 38 32
8 45 42 38 47 17
29 16 30 23 31 32
18 26 34 33 22 12
7 41 19 43 13 9
33 38 14 13 48 3
18 34 29 2 15 42
10 21 40 39 37 24
18 25 27 26 28 2
29 43 42 45 12 37
48 46 14 36 27 44
30 45 41 14 31 21
7 8 11 9 12 10
28 1 24 15 33 5
31 41 14 16 22 11
7 46 13 17 33 3
33 1 5 28 24 15
36 38 25 32 19 4
35 24 47 46 44 10
26 36 8 45 19 6
19 30 48 6 10 47
35 40 34 5 44 39
23 20 7 12 21 37
5 11 22 4 32 30
43 40 28 39 17 31
7 3 28 27 45 4
30 31 32 11 8 37
7 13 46 33 17 3
41 14 31 16 22 11
19 30 48 10 6 47
35 23 34 27 16 3
25 43 48 44 12 41
35 40 39 34 44 5
35 20 18 29 1 6
34 26 46 39 22 10
19 36 23 47 38 24
14 30 41 45 21 31
43 29 42 12 45 37
15 20 23 9 24 4
18 25 28 2 27 26
33 42 21 5 40 2
48 26 31 46 8 21
28 7 44 22 15 42
32 19 14 9 17 3
36 38 32 8 1 21
1 39 13 24 12 37
34 9 40 6 16 38
43 33 48 29 28 9
35 20 47 23 41 3
35 23 38 45 20 15
43 7 26 9 15 29
11 25 45 2 33 36
18 14 5 17 10 4
40 18 22 8 12 5
25 47 26 39 27 2
46 7 30 21 37 3
10 19 42 16 17 11
35 45 39 16 12 41
1 46 47 37 14 45
36 13 1 34 44 14
19 3 9 17 32 14
36 38 1 8 32 21
34 27 17 41 38 24
35 23 31 48 11 12
33 32 30 8 44 16
26 34 21 5 27 40
36 40 39 28 6 5
1 48 23 31 6 2
35 20 25 15 11 28
25 4 10 15 37 47
7 36 46 38 28 11
43 46 31 20 4 44
40 21 10 37 39 24
26 8 19 36 45 6
48 13 38 3 33 14
19 33 40 25 24 5
18 10 45 29 3 17
35 46 47 24 44 10
41 30 34 38 28 12
35 41 45 39 16 12
25 47 4 10 15 37
8 16 23 11 32 42
18 45 29 10 17 3
43 4 44 46 31 20
33 24 5 40 19 25
7 48 21 9 14 2
35 16 12 41 45 39
38 45 42 8 47 17
1 48 23 2 31 6
7 38 36 28 46 11
35 25 20 15 28 11
46 14 27 36 44 48
7 43 19 9 13 41
48 19 30 6 10 47
7 48 9 21 14 2
13 22 6 47 15 39
7 46 30 3 21 37
36 25 11 2 33 45
26 2 27 47 25 39
19 32 27 43 29 30
20 23 41 47 35 3
9 6 34 16 40 38
13 37 12 1 39 24
4 18 5 17 10 14
8 26 21 48 46 31
37 46 1 14 47 45
8 16 33 44 32 30
36 40 39 5 6 28
7 22 42 44 28 15
25 2 13 42 10 4
7 43 26 9 15 29
21 3 22 19 18 20
36 1 14 34 44 13
34 41 17 27 38 24
19 10 42 11 17 16
46 13 7 33 3 17
18 25 26 28 2 27
16 11 41 22 14 31
35 34 16 23 27 3
43 45 42 37 29 12
45 30 14 31 41 21
33 1 5 15 28 24
35 23 48 31 11 12
36 8 32 1 38 21
32 14 19 3 9 17
35 20 45 23 15 38
43 48 28 9 33 29
34 40 27 21 5 26
33 18 13 44 8 29
48 2 31 23 1 6
30 11 22 32 4 5
20 7 23 21 12 37
43 18 6 47 26 37
43 46 44 4 20 31
14 41 16 11 31 22
19 30 47 10 6 48
43 37 12 42 29 45
42 13 22 44 29 17
4 6 31 41 24 32
43 42 22 20 30 24
13 22 42 29 44 17
47 43 26 18 37 6
46 40 20 39 2 48
27 26 40 34 5 21
25 4 15 37 47 10
20 23 9 4 15 24
6 41 4 24 31 32
43 27 32 19 30 29
42 23 32 8 11 16
36 19 38 47 24 23
14 17 13 16 15 9
1 46 45 14 37 47
34 26 46 39 10 22
13 7 43 41 9 19
36 48 27 46 14 44
33 34 26 12 22 18
23 16 29 30 31 32
35 25 28 20 11 15
40 34 38 9 6 16
48 8 26 31 46 21
35 41 47 23 3 20
14 13 9 15 16 17
35 45 38 20 23 15
36 26 19 8 45 6
24 23 47 36 38 19
25 43 48 41 12 44
19 10 16 42 11 17
43 12 45 42 37 29
7 10 8 9 12 11
31 30 8 32 37 11
7 13 3 33 17 46
46 39 26 34 22 10
19 36 38 47 24 23
7 42 15 44 28 22
19 42 11 17 10 16
36 8 19 26 6 45
34 2 18 42 15 29
36 2 11 25 33 45
35 20 15 28 25 11
5 1 2 3 4 6
35 41 20 23 47 3
31 21 8 46 48 26
7 14 9 48 21 2
25 33 19 5 24 40
25 39 26 27 47 2
7 21 3 46 37 30
40 46 48 39 2 20
13 3 48 33 38 14
36 19 8 45 26 6
40 33 5 21 42 2
39 26 34 10 22 46
55 57 58 56 60 59
80 52 67 54 59 56
49 81 53 84 55 60
57 77 82 65 74 79
51 73 77 62 84 83
67 78 74 82 83 72
62 76 55 69 66 60
63 77 75 57 84 79
61 64 80 65 56 59
81 70 71 68 73 58
73 77 68 64 72 60
49 65 71 62 78 69
80 67 52 59 56 54
49 55 84 81 53 60
70 52 62 65 78 69
82 73 77 54 75 72
63 68 53 78 69 79
61 81 49 76 63 79
76 77 78 50 56 79
71 54 74 52 58 72
73 67 83 51 68 59
53 83 74 50 58 56
84 51 71 59 80 57
55 68 67 64 66 60
70 82 75 57 69 80
63 62 68 74 56 60
81 53 58 52 84 66
77 55 65 75 72 73
51 70 82 80 69 79
49 61 50 83 57 59
83 50 67 62 77 78
81 82 66 80 74 58
53 55 78 49 54 64
70 51 84 60 63 77
61 65 62 83 75 69
56 66 80 71 67 65
50 52 57 79 56 59
49 76 84 75 57 79
71 80 74 70 84 79
61 81 82 70 78 50
83 55 51 74 69 59
62 63 53 52 54 58
81 77 68 83 84 64
74 59 69 82 52 56
49 80 76 78 75 79
67 71 68 76 73 72
67 51 65 62 53 60
74 83 55 51 59 69
80 71 70 84 74 79
67 80 64 66 54 60
81 70 73 68 53 79
84 51 71 57 80 59
61 51 74 65 75 57
50 51 70 64 80 59
55 53 49 64 78 54
81 82 74 66 80 58
67 83 77 62 78 50
68 61 56 53 59 69
49 55 63 73 66 65
61 70 81 50 82 78
75 76 81 58 52 60
53 62 63 52 58 54
82 74 69 52 56 59
67 53 65 51 62 60
70 55 50 66 71 72
77 64 81 84 83 68
63 53 68 79 69 78
73 83 77 51 84 62
73 67 71 68 76 72
82 65 77 74 57 79
50 52 79 59 57 56
67 71 54 52 69 72
77 52 71 82 78 72
61 83 65 62 75 69
82 77 75 73 54 72
83 53 50 74 58 56
70 81 68 73 71 58
70 62 65 52 78 69
62 49 65 71 78 69
70 67 73 77 83 53
61 81 63 49 76 79
63 77 84 75 57 79
67 82 83 74 78 72
64 61 65 80 56 59
55 62 76 66 60 69
49 50 51 53 52 54
63 76 71 80 78 75
61 68 77 53 54 84
49 55 76 72 75 57
61 80 57 72 56 54
71 61 82 70 58 64
67 62 49 64 79 66
81 68 53 70 73 79
76 55 63 49 56 59
67 80 64 54 60 66
74 65 50 81 60 66
81 50 74 65 66 60
71 82 77 78 52 72
50 62 83 84 58 69
81 84 53 52 66 58
55 77 65 75 73 72
67 71 64 76 78 54
67 51 83 68 73 59
81 70 83 74 69 72
64 49 67 62 66 79
84 51 71 80 57 59
61 67 65 55 52 60
61 49 50 83 57 59
49 51 77 76 62 64
67 55 64 68 66 60
63 49 73 65 55 66
61 53 68 69 56 59
61 62 78 75 58 56
81 82 80 74 66 58
64 49 55 53 78 54
51 74 63 68 52 59
83 70 53 67 77 73
74 65 82 77 57 79
73 83 51 84 62 77
53 68 78 63 69 79
61 65 83 62 75 69
61 81 70 50 82 78
53 63 62 52 58 54
61 56 64 65 80 59
79 73 68 70 53 81
67 78 71 76 64 54
67 66 55 68 64 60
74 71 70 80 84 79
51 82 64 57 54 72
67 71 52 72 69 54
80 50 70 51 64 59
73 77 64 68 72 60
67 80 52 54 56 59
81 50 65 66 74 60
81 83 77 68 84 64
67 71 73 68 76 72
49 76 55 57 75 72
61 63 73 54 58 57
55 66 70 71 50 72
49 76 78 80 75 79
70 50 82 63 57 59
50 81 65 74 66 60
49 62 76 51 64 77
75 49 55 57 76 72
70 80 51 82 69 79
81 53 66 84 52 58
79 84 50 76 82 66
51 63 74 68 52 59
70 83 67 73 77 53
77 55 65 73 72 75
71 67 64 76 54 78
68 63 62 74 60 56
70 82 80 57 75 69
71 74 58 52 54 72
77 65 73 55 72 75
49 71 65 62 78 69
70 82 57 80 75 69
71 67 76 64 78 54
63 68 74 62 56 60
61 64 62 63 65 66
71 74 52 72 58 54
73 67 51 83 68 59
81 70 53 73 68 79
64 54 67 66 80 60
71 77 82 78 52 72
64 70 50 51 80 59
61 62 78 58 75 56
64 67 49 62 66 79
51 50 82 65 73 52
55 58 57 56 60 59
61 65 64 62 63 66
61 84 68 77 53 54
70 81 83 74 69 72
77 78 50 76 56 79
67 83 68 73 51 59
65 74 82 57 77 79
73 81 53 66 55 60
63 76 71 78 75 80
49 50 51 53 54 52
77 83 62 73 51 84
68 63 53 78 69 79
65 81 74 50 60 66
49 55 57 76 75 72
61 71 70 58 82 64
81 83 74 70 72 69
61 53 68 54 77 84
76 80 63 71 75 78
84 81 49 55 53 60
61 80 57 54 56 72
49 51 53 52 50 54
70 67 77 53 83 73
50 76 66 84 82 79
81 55 64 75 58 60
51 50 52 65 82 73
61 64 65 80 56 59
64 79 67 49 62 66
68 51 63 52 74 59
49 84 76 75 57 79
64 77 72 68 73 60
81 70 71 73 68 58
84 63 79 77 75 57
62 55 76 69 66 60
52 63 53 62 58 54
51 74 55 69 83 59
65 80 67 71 66 56
50 83 62 77 67 78
51 82 64 72 57 54
71 80 70 84 74 79
81 80 82 74 66 58
55 65 63 49 73 66
60 63 84 77 51 70
83 67 74 82 78 72
67 51 53 62 65 60
61 62 83 65 75 69
67 73 71 68 76 72
73 81 70 68 71 58
75 77 63 84 57 79
55 76 62 69 66 60
81 83 68 84 64 77
49 63 61 81 76 79
63 61 57 54 73 58
77 82 73 75 54 72
76 49 63 55 56 59
49 78 76 75 80 79
70 65 78 52 62 69
51 71 84 80 57 59
50 83 53 74 58 56
70 82 80 51 79 69
61 78 62 58 75 56
52 67 71 69 54 72
73 81 53 55 66 60
50 70 51 64 80 59
49 51 62 64 76 77
67 55 61 65 52 60
77 82 65 74 57 79
67 83 82 78 74 72
70 52 65 69 78 62
84 81 52 53 58 66
55 67 52 65 61 60
70 80 82 51 69 79
49 76 62 51 64 77
70 50 63 82 57 59
67 78 74 83 82 72
81 53 70 73 68 79
67 64 80 54 66 60
61 51 74 65 57 75
77 82 75 54 72 73
50 74 53 83 58 56
71 80 51 84 57 59
49 55 63 76 56 59
77 82 52 71 78 72
80 76 63 71 78 75
70 63 50 57 82 59
77 55 65 72 73 75
58 81 52 76 60 75
51 72 82 54 57 64
73 55 63 65 66 49
70 50 78 81 82 61
65 67 66 80 56 71
51 55 74 83 59 69
62 52 63 58 53 54
70 74 84 79 80 71
75 49 84 57 76 79
51 67 62 65 60 53
70 55 50 71 72 66
63 61 73 57 58 54
60 73 72 64 68 77
79 49 76 80 78 75
56 79 59 57 52 50
67 71 76 68 72 73
62 61 83 65 69 75
84 68 81 64 83 77
70 51 63 84 77 60
83 70 81 74 69 72
67 49 62 66 64 79
61 53 77 84 68 54
81 53 55 84 49 60
51 65 82 73 52 50
55 57 56 58 59 60
50 78 77 76 79 56
67 73 51 83 68 59
82 74 52 56 69 59
55 76 62 66 69 60
77 63 84 79 57 75
77 50 83 67 62 78
56 68 59 61 53 69
74 81 80 58 82 66
49 61 63 76 81 79
53 83 50 58 74 56
82 77 75 73 72 54
53 63 69 78 68 79
73 83 62 51 84 77
70 82 75 80 69 57
51 70 80 82 69 79
61 84 54 77 53 68
71 78 63 75 76 80
51 52 73 50 82 65
71 52 74 72 54 58
55 78 64 54 53 49
71 81 70 73 68 58
71 74 72 54 52 58
80 75 69 70 82 57
56 60 74 62 63 68
67 55 68 66 60 64
49 61 63 81 76 79
65 78 70 52 62 69
61 65 64 80 56 59
55 64 53 49 78 54
70 50 82 61 78 81
53 81 84 52 58 66
81 55 58 75 64 60
65 49 62 71 78 69
51 65 67 53 62 60
50 82 76 84 66 79
82 77 71 52 78 72
84 50 83 62 58 69
66 80 60 54 64 67
51 61 65 74 57 75
76 55 63 59 49 56
83 51 55 74 69 59
76 84 57 49 75 79
71 67 65 80 66 56
49 78 65 62 71 69
62 50 83 67 78 77
81 55 60 58 64 75
84 51 77 70 63 60
65 73 82 50 52 51
64 61 62 63 65 66
61 82 71 64 70 58
81 70 83 74 72 69
50 84 66 79 76 82
58 55 75 64 60 81
77 64 68 73 72 60
70 51 84 63 77 60
61 58 78 56 62 75
49 76 79 80 78 75
64 51 82 57 72 54
49 76 63 55 59 56
68 55 67 64 66 60
65 67 71 80 66 56
49 84 75 76 57 79
82 70 50 63 57 59
49 64 51 62 76 77
49 73 63 65 55 66
81 76 75 52 58 60
67 71 78 76 64 54
63 62 74 68 56 60
61 78 75 62 56 58
70 64 51 80 50 59
73 81 55 53 66 60
70 67 77 83 53 73
79 50 84 76 82 66
